file_path,file_path_processed,speaker_id,class,gender,location,notes
../data/data_raw/native01_52.wav,../data/data_preprocessed/native01_52.wav,native01,native,M,cafe,
../data/data_raw/native01_63.wav,../data/data_preprocessed/native01_63.wav,native01,native,M,cafe,
../data/data_raw/native01_64.wav,../data/data_preprocessed/native01_64.wav,native01,native,M,cafe,
../data/data_raw/native01_68.wav,../data/data_preprocessed/native01_68.wav,native01,native,M,cafe,
../data/data_raw/native01_95.wav,../data/data_preprocessed/native01_95.wav,native01,native,M,cafe,
../data/data_raw/native02_52.wav,../data/data_preprocessed/native02_52.wav,native02,native,M,cafe,
../data/data_raw/native02_63.wav,../data/data_preprocessed/native02_63.wav,native02,native,M,cafe,
../data/data_raw/native02_64.wav,../data/data_preprocessed/native02_64.wav,native02,native,M,cafe,
../data/data_raw/native02_68.wav,../data/data_preprocessed/native02_68.wav,native02,native,M,cafe,
../data/data_raw/native02_95.wav,../data/data_preprocessed/native02_95.wav,native02,native,M,cafe,
../data/data_raw/native03_52.wav,../data/data_preprocessed/native03_52.wav,native03,native,F,cafe,
../data/data_raw/native03_63.wav,../data/data_preprocessed/native03_63.wav,native03,native,F,cafe,
../data/data_raw/native03_64.wav,../data/data_preprocessed/native03_64.wav,native03,native,F,cafe,
../data/data_raw/native03_68.wav,../data/data_preprocessed/native03_68.wav,native03,native,F,cafe,
../data/data_raw/native03_95.wav,../data/data_preprocessed/native03_95.wav,native03,native,F,cafe,
../data/data_raw/native04_52.wav,../data/data_preprocessed/native04_52.wav,native04,native,F,cafe,
../data/data_raw/native04_63.wav,../data/data_preprocessed/native04_63.wav,native04,native,F,cafe,
../data/data_raw/native04_64.wav,../data/data_preprocessed/native04_64.wav,native04,native,F,cafe,
../data/data_raw/native04_68.wav,../data/data_preprocessed/native04_68.wav,native04,native,F,cafe,
../data/data_raw/native04_95.wav,../data/data_preprocessed/native04_95.wav,native04,native,F,cafe,
../data/data_raw/native05_52.wav,../data/data_preprocessed/native05_52.wav,native05,native,F,cafe,
../data/data_raw/native05_63.wav,../data/data_preprocessed/native05_63.wav,native05,native,F,cafe,
